id	project	action	was	subject_or_title
0f639c5f7f9c	claude-infrastructure	CLOSE_DONE	blocked	migration 0028: add graph-batch to ms365 PreToolUse matcher
11719755e13d	claude-infrastructure	CLOSE_DONE	blocked	convert ~/.claude-next/hooks forked dir into symlink to ~/.claude/hooks (migration 0013)
15cd161a1f15	reso-management-app	CLOSE_DONE	blocked	deploy pull timers and re-read warm fast-path stratum
191dbe7e4c42	reso-management-app	CLOSE_DONE	blocked	motion-plus OAuth for .claude-secondary
1c4905d6b2ff	claude-infrastructure	CLOSE_DONE	open	Establish whether lr-ingest-verify or the ingest is wrong (A6 never clean)
1d054a8ed2e8	reso-management-app	CLOSE_DONE	blocked	rank the 6 zacapa-23 draws
38805d90f667	claude-infrastructure	CLOSE_DONE	blocked	Run the Jev relevance-ranking trial over memory topic files
3e667b9c16f4	personal	CLOSE_DONE	blocked	Emilia to forward the carpet-cleaning receipt to Connie Tragni
475b43aacbf2	claude-infrastructure	CLOSE_DONE	blocked	orphaned worktree directories under ~/Development/.worktrees
50ea872c590c	claude-infrastructure	CLOSE_DONE	blocked	Land the uncommitted config/kitty.conf chord state from the shared working tree
57b3a6c931bc	claude-infrastructure	CLOSE_DONE	blocked	migration 0025: reinstall + reload com.claude.session-search-backfill
5bcac9ec5e6c	claude-infrastructure	CLOSE_DONE	blocked	render MCP SSOT into live user-scope configs (~/.claude.json ms365 divergence)
636d1863721b	reso-management-app	CLOSE_DONE	blocked	deploy + eyeball the CSS-driven floor-plan fit and Soketi openssl fix
649748653cc5	personal	CLOSE_DONE	blocked	Ask KPMG HR which office (TX vs CA) and relocation policy
6dce8e236719	claude-infrastructure	CLOSE_DONE	blocked	Post-land red of tests/headless-address-consumers.bats at 08bdf357d1d7 (auto-revert failed)
7163a6ebe977	claude-infrastructure	CLOSE_DONE	blocked	Replace file-changed.sh with cwd-changed.sh in the CwdChanged hook slot
731499ac64b4	reso-management-app	CLOSE_DONE	blocked	reconcile the diverged reso primary checkout
747f2a02641c	personal	CLOSE_DONE	blocked	Ask Vista Real whether a U-Box can sit in the lot during move-out
762548398684	claude-infrastructure	CLOSE_DONE	blocked	migration 0028: add mcp__ms365__graph-batch to ms365 email-guard matcher
762df4cd78b5	claude-infrastructure	CLOSE_DONE	blocked	Create a Vercel AI Gateway key for cc-jev
76c714390f4d	claude-infrastructure	CLOSE_DONE	blocked	Retire the live Claude sessions still on the superseded 2.1.220 binary
7df2145f51c1	reso-management-app	CLOSE_DONE	blocked	rank titos runs 61-72 (paired-reference draws)
8636b8f829fe	claude-infrastructure	CLOSE_DONE	blocked	re-authenticate the 'next' Claude Max account
88ac99840d82	personal	CLOSE_DONE	blocked	Name the Polestar 2's paint colour
8ad5731d6338	claude-infrastructure	CLOSE_DONE	blocked	live ~/.claude/CLAUDE.md holds untracked rules; land into CLAUDE.global.md
8c6c8bba09e1	claude-infrastructure	CLOSE_DONE	blocked	live ~/.claude/CLAUDE.md holds untracked rules; land into root CLAUDE.md
8c7ebcb056b0	sevenrooms-bridge	CLOSE_DONE	blocked	Deploy the Lambda that turns on Mansion's 11 PM note
9242519a4639	claude-infrastructure	CLOSE_DONE	blocked	Restart the lead-supervisor daemon onto the landed escalation ladder
95ea18ea9ac0	personal	CLOSE_DONE	blocked	Take an encrypted iPhone 16e backup to close the 2024-12 to 2026-08 message gap
96f378f98b58	reso-management-app	CLOSE_DONE	blocked	T3 — passkey ceremony completes inside installed iOS web app
96fe7b1687a0	claude-infrastructure	CLOSE_DONE	blocked	Show one cloud item going create -> execute -> claude/* push -> cloud-reconcile -> land (CLOUD_OBSERVABILITY DoD)
9a64df6fe7bf	claude-infrastructure	CLOSE_DONE	blocked	migration 0025 session-search-backfill plist live (duplicate of 57b3a6c931bc)
a0bc4e5ed1cf	claude-infrastructure	CLOSE_DONE	blocked	reconcile ~/.claude/CLAUDE.md with repo CLAUDE.md
a3d2640f9792	claude-infrastructure	CLOSE_DONE	blocked	next3 cloud control plane 401
adf1bb6b5406	claude-infrastructure	CLOSE_DONE	blocked	SessionStart accounts board hook merged into all five config dirs' settings.json
ae3fdca64013	claude-infrastructure	CLOSE_DONE	blocked	trunk RED memory-index-drain.bats case 10 after 5972228d5
b39007889612	claude-infrastructure	CLOSE_DONE	blocked	migration 0033 — mail-images-auto PostToolUse hook
b44d4bbb749e	personal	CLOSE_DONE	blocked	Confirm/order Cox StraightUp for move-connectivity before Aug 23
b44d993ecdc4	sevenrooms-bridge	CLOSE_DONE	open	Add npm test to sevenrooms-bridge CI
b97c7e92aa03	reso-management-app	CLOSE_DONE	blocked	blind-rank the 9 titos draws
bd5ea83a47f7	claude-infrastructure	CLOSE_DONE	blocked	23 untracked leftovers in the shared checkout
c2403968cbf0	claude-infrastructure	CLOSE_DONE	blocked	cc-memory-rotate already-cited veto: no census slot, rc 4 on idempotent re-run
c6d897731567	sevenrooms-bridge	CLOSE_DONE	open	preflight-golive G2 negative control flakes under a concurrent build
cf21c910cf9f	personal	CLOSE_DONE	blocked	Turn on Text Message Forwarding so SMS, RCS and 2FA codes reach the Mac
d21c5ebb0dc4	reso-management-app	CLOSE_DONE	blocked	operator feel check of venue-switcher exit (260ms fade / 450ms dwell)
d47516537344	claude-infrastructure	CLOSE_DONE	blocked	Add mcp__ms365__graph-batch to the ms365 send guard
d4f2ad3ca5fb	claude-infrastructure	CLOSE_DONE	blocked	migration 0034: enableArtifact=false in every config dir
db202fc067e2	claude-infrastructure	CLOSE_DONE	blocked	migration 0016: register StopFailure/PostToolBatch/InstructionsLoaded hooks fleet-wide
e2386b169d11	personal	CLOSE_DONE	blocked	Allow reading WhatsApp ChatStorage.sqlite for roommate evidence
e61141117af5	claude-infrastructure	CLOSE_DONE	blocked	wire FileChanged + CwdChanged three-part unit (migration 0017)
