ADMISSIBLE	tui	/deploy
ADMISSIBLE	tty	bash /tmp/permission-prompts-drain.sh
INADMISSIBLE	self-runnable	git push origin main
INADMISSIBLE	self-runnable	cc-teardown 27 --done-evidence 'old self-cloning drain chain retired 2026-09-04; replaced by lane infra (scripts/drain-brief.sh)'
INADMISSIBLE	self-runnable	git -C ~/Development/.worktrees/wt-pool-2 merge --ff-only origin/main
ADMISSIBLE	decision	bash /tmp/reso-operator-apex-and-vitals.sh
ADMISSIBLE	gui	open http://localhost:3333
ADMISSIBLE	tty	cc-do ee88798f94cd
ADMISSIBLE	gui	open https://claude.ai/code/session_01M676dQtsFjboT9vTPFL3Mt
INADMISSIBLE	self-runnable	git -C /Users/chrisren/Development/claude-infrastructure reset --keep origin/main && bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh
ADMISSIBLE	physical	bash /tmp/voiceink-notch-probe2.sh
ADMISSIBLE	decision	pnpm invite:admin --subdomain insomniacdenver --email ren.chris@outlook.com --execute
ADMISSIBLE	decision	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/golive.sh --enable
ADMISSIBLE	login	gh auth refresh -h github.com -s user
ADMISSIBLE	physical	open 'tel:8665823185'
ADMISSIBLE	decision	bash /tmp/mcp-ssot-render.sh
ADMISSIBLE	gui	open http://gn.localhost:3001/admin
INADMISSIBLE	self-runnable	bash /Users/chrisren/Development/claude-infrastructure/scripts/branch-prune-landed.sh
ADMISSIBLE	login	/opt/homebrew/bin/python3 /tmp/discord-read-history.py 1407925100757385356 1407464420136980642 1404738898839736420
INADMISSIBLE	self-runnable	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/golive.sh
ADMISSIBLE	gui	Turso console → ashburn-group → settings → enable delete protection (then los-angeles-group)
INADMISSIBLE	self-runnable	cd ~/Development/.worktrees/wt-lr-kitty-fire-verify && bash scripts/ship-land.sh
INADMISSIBLE	permission-gated	launchctl unsetenv CC_REAPER_GARBAGE
ADMISSIBLE	gui	open http://studio60.localhost:3000/api/dev-login?next=/floor-plan http://key.localhost:3000/api/dev-login?next=/floor-plan
ADMISSIBLE	decision	cd /Users/chrisren/Development/.worktrees/wt-pool-7 && pnpm tsx scripts/bottle-gen-production.ts --slug=caymus-cabernet --all-refs --runs=2 --prompt="Caymus Vineyards Napa Valley Cabernet Sauvignon wine bottle"
INADMISSIBLE	self-runnable	cd ~/Development/claude-infrastructure && git diff hooks/session-start.sh
INADMISSIBLE	self-runnable	cd ~/Development/reso-web-app && git push origin main
