# verdict	class	src	read	command
ADMISSIBLE	tty	agreed	True	bash /tmp/approval-queue-drain.sh
ADMISSIBLE	gui	adjudicated	True	bash /tmp/austin-outbound-now.sh
ADMISSIBLE	physical	agreed	False	open tel:7143346077
ADMISSIBLE	decision	adjudicated	True	bash /tmp/reso-operator-apex-and-vitals.sh --apply-apex
INADMISSIBLE	self-runnable	agreed	False	aws sns subscribe --region us-west-2 --topic-arn arn:aws:sns:us-west-2:850203930273:sevenrooms-bridge-alerts --protocol email --notification-endpoint ren.chris@outlook.com
ADMISSIBLE	decision	agreed	True	bash ~/Development/claude-infrastructure/docs/activation/pending-activation/41-browser-spin-guard-activate.sh
INADMISSIBLE	self-runnable	agreed	True	git -C ~/Development/claude-infrastructure stash push -m "peer-wip: email reply/forward guard" hooks/enforce-email-formatting.py && bash ~/Development/claude-infrastructure/scripts/deploy-live.sh
ADMISSIBLE	login	agreed	True	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/manual-relogin.sh
INADMISSIBLE	permission-gated	agreed	True	git -C /Users/chrisren/Development/claude-infrastructure config --unset core.bare
INADMISSIBLE	permission-gated	adjudicated	True	cc-do b20eb0842304
ADMISSIBLE	login	agreed	False	open 'https://login.microsoftonline.com/consumers/oauth2/deviceauth' && echo '6C4WJJMH'
ADMISSIBLE	physical	agreed	False	open 'tel:8182526400'
INADMISSIBLE	self-runnable	agreed	True	bash ~/mint-denver-admin.sh
ADMISSIBLE	login	agreed	True	bash scripts/manual-relogin.sh
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-307fe7ab1e91 && bash scripts/ship-land.sh && cc-backlog done 307fe7ab1e91 --evidence "$(git rev-parse origin/main)"
INADMISSIBLE	self-runnable	agreed	False	it2 session focus 431
ADMISSIBLE	decision	agreed	False	bash /tmp/austin-send-three-drafts.sh
ADMISSIBLE	tui	agreed	False	/exit
INADMISSIBLE	self-runnable	agreed	False	cd /Users/chrisren/Development/claude-infrastructure && git reset --keep origin/main
INADMISSIBLE	self-runnable	agreed	False	aws sns subscribe --region us-west-2 --topic-arn arn:aws:sns:us-west-2:850203930273:sevenrooms-bridge-alerts --protocol email --notification-endpoint <your-address>
ADMISSIBLE	gui	agreed	False	open /tmp/church-4-items.html
ADMISSIBLE	login	agreed	True	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/create-login-secret.sh
INADMISSIBLE	readable	agreed	False	cursor ~/frontier-slate-2026-09-09/sevenrooms-findings.md
INADMISSIBLE	self-runnable	agreed	False	cc-notify 335 "arm your goal now: your composer was unreadable at fire time so it abstained"
INADMISSIBLE	permission-gated	agreed	True	bash /tmp/sevenrooms-prove-relogin.sh
ADMISSIBLE	sudo	agreed	False	sudo pmset -a disablesleep 0
INADMISSIBLE	self-runnable	agreed	False	cd /Users/chrisren/Development/claude-infrastructure && rm -f docs/research/branch-prune-manifest-2026-08-19.tsv scripts/branch-prune-landed.sh && git reset --keep origin/main
INADMISSIBLE	self-runnable	agreed	True	cc-offload land --all
ADMISSIBLE	decision	agreed	True	bash ~/Development/claude-infrastructure/migrations/0019-hook-surface-registration.sh
ADMISSIBLE	decision	adjudicated	True	bash ~/Development/claude-infrastructure/scripts/deploy-live.sh --force
ADMISSIBLE	tty	agreed	True	bash /Users/chrisren/Development/.worktrees/wt-cc-015041-28169/scripts/setup/lead-alert-phase0.sh
INADMISSIBLE	self-runnable	agreed	False	CC_RECYCLE_SUBAGENT_GATE=off bash ~/Development/claude-infrastructure/scripts/handoff-fire.sh --recycle
ADMISSIBLE	sudo	agreed	False	osascript -e 'do shell script "/usr/bin/pmset -a disablesleep 0" with administrator privileges'
ADMISSIBLE	gui	agreed	False	open 'https://outlook.live.com/mail/0/drafts'
INADMISSIBLE	readable	agreed	False	cursor ~/frontier-slate-2026-09-09/memory-compaction-proposal.md
ADMISSIBLE	login	agreed	False	open 'https://microsoft.com/devicelogin' && echo 'code: NMNYZRM6'
ADMISSIBLE	decision	adjudicated	True	cp /Users/chrisren/Development/claude-infrastructure/launchd/com.claude.cc-gc.plist ~/Library/LaunchAgents/ && launchctl bootstrap gui/$(id -u) ~/Library/LaunchAgents/com.claude.cc-gc.plist
ADMISSIBLE	tty	agreed	True	bash ~/Development/agent-secrets/install.sh
INADMISSIBLE	self-runnable	agreed	True	bash ~/.claude/scripts/handoff-fire.sh self-close --terminal --pane 376
INADMISSIBLE	self-runnable	agreed	False	pmset -g batt
ADMISSIBLE	gui	agreed	True	bash /tmp/floorplan-signoff.sh
ADMISSIBLE	login	agreed	True	aws secretsmanager create-secret --name sevenrooms/sidecar/login --region us-west-2 --secret-string '{"email":"ren.chris@outlook.com","password":"<your SevenRooms password>"}'
INADMISSIBLE	permission-gated	adjudicated	True	bash /tmp/sevenrooms-arm-and-deploy.sh
INADMISSIBLE	permission-gated	adjudicated	True	cc-do 564c488fd357
ADMISSIBLE	gui	adjudicated	True	open -a Notes /tmp/restart-recovery-prompt.txt
INADMISSIBLE	self-runnable	agreed	False	cc-decide list --open | grep 23c89594c040
ADMISSIBLE	physical	agreed	True	cc-do f7493a16667d
INADMISSIBLE	self-runnable	agreed	False	Execute docs/plans/MEMORY_ARCHITECTURE_SPLIT.md — re-measure the index first (it was 24,374 B / 611 B headroom), then run Phase 0 as written. Do not delete or move any topic file, and do not remove an index line before its citing rule file exists.
INADMISSIBLE	permission-gated	adjudicated	True	cc-do eac72456751a
INADMISSIBLE	readable	single	False	open 'https://outlook.live.com/owa/?ItemID=AQMkADAwATY0MDABLTlmNTUALWE3ZGUtMDACLTAwCgBGAAADfHgLJFooeEuAVU9Tl7xLTgcA5ymqAQJ7ikGyvEdSeRTnggAAAgEPAAAA5ymqAQJ7ikGyvEdSeRTnggAJrBWNcAAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem'
INADMISSIBLE	self-runnable	agreed	False	cd /Users/chrisren/Development/.worktrees/wt-pool-2 && bash scripts/deploy-venue.sh --subdomain key --group oregon-group --venue heist --input data/heist-floor-plan.json --venue-svg data/heist-venue-svg.json --dry-run
INADMISSIBLE	self-runnable	agreed	False	npx oxlint@1.80.0 src theme
INADMISSIBLE	self-runnable	agreed	False	bash ~/.claude/scripts/handoff-fire.sh --recycle --prompt-file /private/tmp/claude-501/-Users-chrisren-Development-personal/dd976890-9569-4a02-879c-0bd764b1f7ae/scratchpad/recycle-brief.txt
ADMISSIBLE	decision	adjudicated	True	bash /tmp/sr-finish.sh
INADMISSIBLE	self-runnable	agreed	False	aws ssm put-parameter --name /amplify/djnbdqpvc08g4/main/REPLICACHE_PULL_CURSOR_GATE --value on --type String --overwrite
ADMISSIBLE	gui	adjudicated	True	open http://localhost:3333/
INADMISSIBLE	self-runnable	agreed	False	git show f24afc37fa1c
INADMISSIBLE	self-runnable	agreed	False	git log --all --format='%ae' | sort | uniq -c | sort -rn
ADMISSIBLE	tui	agreed	False	/goal The Church main floor has all four review findings fixed and is viewable: interior walls render, the perimeter no longer draws a box around the legend card, MAIN BAR/WINE BAR/DANCE FLOOR have no invented rectangle but still show their labels centred in their space, and all 19 bookable tables (15 main floor + 4 balcony) appear on one canvas — proven by the session printing a green "pnpm room:bake" for the-church-nightclub.main-floor, a "pnpm room:render --layers" line, and then stating both the file:// path of the refreshed layer page and the church.localhost:3100 URL; do not modify any other venue's artifacts, and do not claim done without having actually viewed the rendered output.
INADMISSIBLE	readable	agreed	False	cursor /Users/chrisren/Development/.worktrees/wt-pool-7/.claude-plans/MEMORY_COMPACTION_LONG_HORIZON.md
INADMISSIBLE	readable	agreed	False	cursor ~/Development/personal/roommate-settlement/REVIEW.md
ADMISSIBLE	gui	agreed	False	open ~/Development/personal/roommate-settlement/settlement.html
INADMISSIBLE	self-runnable	agreed	True	git -C /Users/chrisren/Development/claude-infrastructure add .claude/rules/agent-operating-lessons.md && git -C /Users/chrisren/Development/claude-infrastructure commit -m 'docs(rules): route the viewport-oracle line off the memory index (cc-memory-rotate)' && bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh
INADMISSIBLE	self-runnable	agreed	False	git show b5aaa213c5de842eece7e1cd67614e9cbbf7ec49
INADMISSIBLE	self-runnable	agreed	False	git -C /Users/chrisren/Development/.worktrees/wt-pool-8 add src/components/CheckDB.tsx src/components/PageCard.tsx src/components/CardFormBody.tsx src/components/PageCardFooter.tsx
INADMISSIBLE	readable	agreed	False	cursor ~/Development/personal/docs/research/montway-exit-FINAL-2026-08-25.md
INADMISSIBLE	self-runnable	agreed	False	git -C /Users/chrisren/Development/claude-infrastructure log --oneline 8460f5ac9fb23f01e220b83463724d0b36624f7e..HEAD
ADMISSIBLE	decision	agreed	True	cc-do f8b768eaaebd
INADMISSIBLE	self-runnable	agreed	True	bash /Users/chrisren/Development/doc_classifier/scripts/aoai-retry-standing.sh
ADMISSIBLE	tui	agreed	False	/goal Multi-device passkey enrollment is LIVE — proven by this session printing a PRAGMA table_info(credential) against a production tenant showing credential_device_type present, which is the only evidence the deploy reached the enforcing store rather than just origin/main. If the operator reports the macOS sheet offers no nearby-phone path even under Other Options, the separate QR-first entry point must be implemented, gate-green and landed before this clears. Do not run /deploy — it is the operator's alone, so when everything else is done, say so and stop. Do not add preferredAuthenticatorType:remoteDevice to the default Add-a-device path. Do not override the fire capacity gate.
INADMISSIBLE	self-runnable	agreed	False	~/.claude/scripts/handoff-fire.sh --prompt-file /tmp/fire-desk-recycle.txt --recycle --follow
UNKNOWN	unknown	agreed	False	bash /private/tmp/claude-501/-Users-chrisren-Development--worktrees-wt-cc-115127-44020/ce7e15dd-e346-4a83-8877-2cd873bcde0d/scratchpad/apply.sh
ADMISSIBLE	gui	agreed	False	open https://github.com/settings/installations
ADMISSIBLE	gui	agreed	False	open "https://claude.ai/code/artifact/ddb95055-8630-4705-98a3-71deaaa899cc"
ADMISSIBLE	gui	agreed	False	open https://github.com/settings/installations/
ADMISSIBLE	decision	agreed	False	pnpm release:fly --iad
ADMISSIBLE	gui	agreed	False	open /tmp/church-four-wall-fixes.html
INADMISSIBLE	self-runnable	agreed	False	cd /Users/chrisren/Development/claude-infrastructure && git rebase origin/main
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/arm-sidecar.sh
ADMISSIBLE	tty	agreed	False	claude
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-7d0c581fe2fb && bash scripts/ship-land.sh
INADMISSIBLE	self-runnable	agreed	False	git add docs/research/exhaustive-drive-2026-09-08/W2-B5-write-attribution-census.md
INADMISSIBLE	permission-gated	adjudicated	True	bash /tmp/hooks-wire-posttooluse-failure.sh --yes
ADMISSIBLE	tty	agreed	True	bash /var/folders/0s/t55zvgts2qqb78fbqgn8ldy40000gn/T/lr-launch-7193ec2b-PA1BtD.sh
INADMISSIBLE	self-runnable	agreed	False	mv ~/.claude/cc-registry/580.json ~/.claude/cc-registry/580.json.stale-$(date +%s)
ADMISSIBLE	tui	agreed	False	/deploy
ADMISSIBLE	tty	agreed	True	bash /tmp/permission-prompts-drain.sh
INADMISSIBLE	self-runnable	agreed	True	git push origin main
ADMISSIBLE	decision	adjudicated	True	bash /tmp/dispatcher-unpark-local.sh
INADMISSIBLE	self-runnable	agreed	True	cc-teardown 27 --done-evidence 'old self-cloning drain chain retired 2026-09-04; replaced by lane infra (scripts/drain-brief.sh)'
